Full Item Description,DPCI,UPC,GENDER,Brand,Form,Price Tier
049-01-0034 AXE 4OZ Gold Temptation Body Spray,49010034,7940038107,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0037 DEGREE 2.7OZ TWIN EVEREST,49010037,7940022382,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0038 Secret Destinations 2.6z IS Paris S,49010038,3700063020,WOMEN'S,SECRET,STICKS/SOLID,PREMIUM
049-01-0039 Gillette 0.5oz Clinical Clear Gel C,49010039,3700063018,MEN'S,GILLETTE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0039 Secret Destinations 2.6z CG Paris S,49010039,,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0041 Secret Destinations 2.6z CG Hawaii,49010041,3700063019,WOMEN'S,SECRET,GEL,PREMIUM
049-01-0042 Secret Destinations 2.6z IS Hawaii,49010042,3700063021,WOMEN'S,SECRET,STICKS/SOLID,PREMIUM
049-01-0044 Right Guard Xtreme Heat Shield 4.0o,49010044,1700011749,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0046 OLD SPICE    FR CL FI 2.6Z BW 8.29E,49010046,,MEN'S,OLD SPICE,,
049-01-0047 ARRID 6oz XX Fresh Clear Spray,49010047,2260088671,MEN'S,ARRID,AEROSOL,BASE
049-01-0048 LADY SPEED   2.3OZ INV SLD PDR/FSH,49010048,2220095440,WOMEN'S,LADY SPEED STICK,STICKS/SOLID,BASE
049-01-0049 LADY SPEED   2.3OZ INV SLD SHWR/FSH,49010049,,WOMEN'S,LADY SPEED STICK,STICKS/SOLID,BASE
049-01-0049 Mitchum Fresh 5.4 oz Underarm Anti-,49010049,30997475595,WOMEN'S,LADY MITCHUM,STICKS/SOLID,BASE
049-01-0050 DEGREE       2.7Z SHWR CLEAN CLINCL,49010050,7940003620,WOMEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0051 SECRET 5.2OZ IS Berry Fresh Twin,49010051,3700092240,WOMEN'S,SECRET,STICKS/SOLID,BASE
049-01-0052 Right Guard Xtreme Heat Shield 2.6o,49010052,1700011737,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0052 Right Guard XTREME HEAT SHIELD Mira,49010052,1700011737,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0053 DRY IDEA     3.25OZ PWDR FR ROLL ON,49010053,1700006823,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0056 Right Guard Xtreme Heat Shield Stai,49010056,1700011745,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0058 DOVE         2.6Z REBAL+CLIN MAY12,49010058,,WOMEN'S,DOVE BEAUTY,,
049-01-0063 DOVE         2.6Z REVIVE+CLIN MAY12,49010063,,WOMEN'S,DOVE BEAUTY,,
049-01-0069 OLD SPICE    3.25OZ RZ PS DEO,49010069,,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0077 DOVE DOVEMEN TWN XTRA FRESH,49010077,7940022336,MEN'S,DOVE MEN,STICKS/SOLID,PREMIUM
049-01-0084 Ecom Every Man Jack Woodsy 3 oz Ant,49010084,87863900023,MEN'S,EVERY MAN JACK,STICKS/SOLID,PREMIUM
049-01-0084 Ecom Every Man Jack Woodsy 3 oz Und,49010084,87863900023,MEN'S,EVERY MAN JACK,STICKS/SOLID,PREMIUM
049-01-0086 Axe Fresh 6 ct Underarm Anti-perspi,49010086,7940046728,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0086 Axe Fresh 6 ct Antiperspirants And,49010086,7940046728,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0087 Axe Fresh 4.4 oz Underarm Anti-pers,49010087,7940046729,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0087 Axe Fresh 4.4 oz Antiperspirants An,49010087,7940046729,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0089 DEGREE       1.7Z ABS EXTREME MGD,49010089,7940020222,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0090 OLD SPICE    3.25OZ RZ AR DEO,49010090,,MEN'S,OLD SPICE,STICKS/SOLID,
049-01-0091 Axe Scented 5.7 oz Total Body Deodo,49010091,7940046637,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0092 Axe Scented 5.7 oz Total Body Deodo,49010092,7940046638,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0093 Dry Idea Stress Shield 2.6oz Inspir,49010093,,WOMEN'S,DRY IDEA,ROLL ON,
049-01-0094 Dry Idea Stress Shield 3.25oz Inspi,49010094,1700011891,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0095 RIGHT GUARD Fresh 2.6 oz Underarm A,49010095,1700010689,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0096 Right Guard XTREME DEFENSE 5 Arctic,49010096,1700006815,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0098 Dove Men 2.7z IS Sensitive Shield,49010098,7940044603,MEN'S,DOVE MEN,STICKS/SOLID,PREMIUM
049-01-0098 Dove Men Scented 2.7 oz Antiperspir,49010098,7940044603,MEN'S,DOVE MEN,STICKS/SOLID,PREMIUM
049-01-0098 Dove Men+Care 2.7z Sensitive Shield,49010098,7940044603,MEN'S,DOVE MEN,STICKS/SOLID,PREMIUM
049-01-0100 Ecom Every Man Jack Cedar 3 oz Anti,49010100,87863900021,MEN'S,EVERY MAN JACK,STICKS/SOLID,PREMIUM
049-01-0101 Ecom Every Man Jack citrus 3 oz Ant,49010101,87863900022,MEN'S,EVERY MAN JACK,STICKS/SOLID,PREMIUM
049-01-0102 Right Guard Cool Rush 4 oz Underarm,49010102,1700006809,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0102 Right Guard XTREME DEFENSE 5 Arctic,49010102,1700006809,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0104 Right Guard Xtreme Fresh 4.0oz Ener,49010104,1700010681,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0105 Right Guard Xtreme Fresh 4.0oz Exhi,49010105,1700010934,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0108 GILLETTE IS ODOR SHIELD OLYMPIC SPO,49010108,,MEN'S,GILLETTE,,
049-01-0115 RIGHT GUARD SPORT 8.5OZ ORIGINAL AE,49010115,1700006811,MEN'S,RIGHT GUARD,AEROSOL,BASE
049-01-0116 DRY IDEA Scented 3.25 oz Underarm A,49010116,1700006831,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0117 OLD SPICE    2.6OZ SWAGGER+1.7OZ BW,49010117,1204402019,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0118 DOVE         2.6OZ UC NATURE FRESH,49010118,7940002455,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM
049-01-0119 Degree Scented 3.2 oz Underarm Anti,49010119,7940047290,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0119 Degree Scented 3.2 oz Antiperspiran,49010119,7940047290,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0120 Degree Scented 3.2 oz Underarm Anti,49010120,7940047341,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0120 Degree Scented 3.2 oz Antiperspiran,49010120,7940047341,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0121 Axe Scented 3.2 oz Underarm Anti-pe,49010121,7940046730,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0123 OLD SPICE    2.6OZ CHMPN+1.7OZ BW,49010123,1204402021,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0126 Axe Scented 4.5 oz Underarm Anti-pe,49010126,7940046639,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0127 Degree Scented 3.2 oz Underarm Anti,49010127,7940047289,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0127 Degree Scented 3.2 oz Antiperspiran,49010127,7940047289,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0128 Degree Scented 3.2 oz Underarm Anti,49010128,7940047288,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0128 Degree Scented 3.2 oz Antiperspiran,49010128,7940047288,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0129 OLD SPICE    5.2 OZ WOLFTHORN SOLID,49010129,,MEN'S,OLD SPICE,,
049-01-0130 SECRET       2.6OZ OTLST CLN+.5OZ,49010130,,WOMEN'S,SECRET,,
049-01-0132 DEGREE       1.7OZ CLASSIC ROMANCE,49010132,7940004346,WOMEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0135 4OZ BODY SPR AY SWAGGER,49010135,,MEN'S,OLD SPICE,BODY SPRAY,PREMIUM
049-01-0136 DEGREE       2.6 OZ SOLID,49010136,7940045132,WOMEN'S,DEGREE,STICKS/SOLID,
049-01-0137 DOVE DOVE 2.6Z TWIN COOLESS,49010137,7940023838,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM
049-01-0138 SECRET       2.6OZ OTLST SPRT+.5OZ,49010138,,WOMEN'S,SECRET,,
049-01-0139 OLD SPICE    3OZ CHMPN DEO+1.7OZ BW,49010139,1204402024,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0139 OLD SPICE RZ CHAMPION DEO 3OZ + 1.7,49010139,1204402024,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0140 RIGHT GUARD SPORT 3OZ FRESH GEL,49010140,1700006972,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0140 Right Guard SPORT Fresh 4.0 oz Gel,49010140,1700006972,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0145 MITCHUM      5.4 OZ ICE FRESH SOLID,49010145,,MEN'S,MITCHUM,STICKS/SOLID,PREMIUM
049-01-0146 AXE 4OZ Dark Temptation Body Spray,49010146,7940037997,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0147 OLD SPICE    3OZ SWGGR DEO+1.7OZ BW,49010147,,MEN'S,OLD SPICE,STICKS/SOLID,
049-01-0151 RIGHT GUARD  2.8OZ FRESH INV SLD,49010151,1700025173,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0152 SECRET       2.6OZ FE IS NECTRINE,49010152,3700022982,WOMEN'S,SECRET,STICKS/SOLID,PREMIUM
049-01-0152 SECRET 2.6OZ FE IS Refreshing Necta,49010152,3700022982,WOMEN'S,SECRET,STICKS/SOLID,PREMIUM
049-01-0153 SECRET        FE FWORC 3OZ BODY MIS,49010153,,WOMEN'S,SECRET,,
049-01-0154 SECRET       1.6OZ CLNCL SPRT OLMPC,49010154,3700056424,WOMEN'S,SECRET,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0155 DEGREE 1.7Z CLINICAL Active Cln,49010155,7940041649,WOMEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0155 Degree 1.7Z Clinical Shower Clean,49010155,7940041649,WOMEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0156 OLD SPICE RED ZONE SWAGGER DOPP HOL,49010156,3700063073,MEN'S,OLD SPICE,GIFTPACK,PREMIUM
049-01-0157 OLD SPICE PURE SPORT HOLIDAY 2014,49010157,3700063071,MEN'S,OLD SPICE,GIFTPACK,PREMIUM
049-01-0158 OLD SPICE    FC SET HOLIDAY 2013,49010158,1204402481,MEN'S,OLD SPICE,GIFTPACK,PREMIUM
049-01-0159 DEGREE DOVE  35 PC PURE SATIN 2.6EC,49010159,,WOMEN'S,DOVE BEAUTY,,
049-01-0161 SECRET       2.6OZ OTLST PWDR+.5OZ,49010161,,WOMEN'S,SECRET,,
049-01-0162 SECRET CL 1.6OZ SS Powder Protectio,49010162,3700009614,WOMEN'S,SECRET,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0163 AXE 4OZ Anarchy Female Body Spray,49010163,7940019721,WOMEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0166 SECRET CL 1.6OZ SS Fearlessly Fresh,49010166,3700084069,WOMEN'S,SECRET,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0167 DEGREE       1.7Z CLINICAL CLEAN,49010167,,MEN'S,DEGREE,CLINICAL,
049-01-0168 OLD SPICE    2.6OZ RZ SWGGR W/BS,49010168,1204402139,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0171 OLD SPICE    SCENTED 2.6 OZ UNDERAR,49010171,,MEN'S,OLD SPICE,,
049-01-0172 LADY SPEED   WILD FREESIA TWN 24/7,49010172,2220096253,WOMEN'S,LADY SPEED STICK,STICKS/SOLID,BASE
049-01-0173 OLD SPICE    2.6OZ RZ DNGRZONE W/BS,49010173,,MEN'S,OLD SPICE,,
049-01-0175 SECRET CL 1.6OZ SS Light & Fresh,49010175,3700009615,WOMEN'S,SECRET,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0176 OLD SPICE    FRESH HOLIDAY 2012,49010176,3700055418,MEN'S,OLD SPICE,STICKS/SOLID,
049-01-0178 SECRET       4OZ FRESH ORCHID BS,49010178,3700028004,WOMEN'S,SECRET,MIST,PREMIUM
049-01-0180 Old Spice Scented 2.6 oz Antiperspi,49010180,3700094478,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0181 Old Spice Scented 2.6 oz Antiperspi,49010181,3700094479,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0184 AXE 2.7oz Black Chill Invisible Sol,49010184,7940028774,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0185 OLD SPICE    FRAGRANCE HOLIDAY SET,49010185,1204402075,MEN'S,OLD SPICE,GIFTPACK,
049-01-0187 Dove Beauty Scented 3.1 oz Underarm,49010187,7940048557,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0187 Dove Beauty Scented 3.1 oz Antipers,49010187,7940048557,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0189 Dove Beauty Scented 3.1 oz Underarm,49010189,7940048534,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0189 Dove Beauty Scented 3.1 oz Antipers,49010189,7940048534,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0190 Dove Beauty Scented 3.1 oz Underarm,49010190,7940048559,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0190 Dove Beauty Scented 3.1 oz Antipers,49010190,7940048559,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM PLUS
049-01-0195 AXE 3oz Black Chill Deodorant,49010195,7940028773,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0196 OLD SPICE RZ  4Z BODY SPRAY CHAMPIO,49010196,,MEN'S,OLD SPICE,BODY SPRAY,PREMIUM
049-01-0199 OLD SPICE    3OZ RZ CHAMPION DEO,49010199,,MEN'S,OLD SPICE,STICKS/SOLID,
049-01-0201 BAN VANILLA  TWIST INV SOLID 2.6OZ,49010201,1904511778,WOMEN'S,BAN,STICKS/SOLID,BASE
049-01-0202 DRY IDEA     3.25OZ REGULAR ROLLON,49010202,1700006831,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0202 DRY IDEA 25OZ REGULAR ROLLON,49010202,1700006831,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0203 Gillette Scented 4 oz Underarm Anti,49010203,4740053838,MEN'S,GILLETTE,GEL,PREMIUM
049-01-0203 Gillette Scented 4 oz Antiperspiran,49010203,4740053838,MEN'S,GILLETTE,GEL,PREMIUM
049-01-0204 Gillette Scented 4 oz Underarm Anti,49010204,4740053839,MEN'S,GILLETTE,GEL,PREMIUM
049-01-0204 Gillette Scented 4 oz Antiperspiran,49010204,4740053839,MEN'S,GILLETTE,GEL,PREMIUM
049-01-0205 RIGHT GUARD  4OZ FAST BREAK GEL,49010205,1700006916,MEN'S,RIGHT GUARD,GEL,BASE
049-01-0206 AXE 4OZ Phoenix Twin Pack Body Spra,49010206,7940033474,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0208 SECRET 2.6OZ IS Clean Lavender,49010208,3700081425,WOMEN'S,SECRET,STICKS/SOLID,BASE
049-01-0209 OLD SPICE    3.25OZ RZ DEO SWAGGER,49010209,,MEN'S,OLD SPICE,,
049-01-0211 Gillette Scented 2.6 oz Underarm An,49010211,4740053842,MEN'S,GILLETTE,STICKS/SOLID,PREMIUM
049-01-0211 Gillette Scented 2.6 oz Antiperspir,49010211,4740053842,MEN'S,GILLETTE,STICKS/SOLID,PREMIUM
049-01-0212 Gillette Scented 2.6 oz Underarm An,49010212,4740053843,MEN'S,GILLETTE,STICKS/SOLID,PREMIUM
049-01-0212 Gillette Scented 2.6 oz Antiperspir,49010212,4740053843,MEN'S,GILLETTE,STICKS/SOLID,PREMIUM
049-01-0213 Old Spice 2.6oz Hardest Working Col,49010213,3700094480,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0213 Old Spice Scented 2.6 oz Antiperspi,49010213,3700094480,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0215 SECRET       2.6OZ IS SHEER CLEAN,49010215,,WOMEN'S,SECRET,,
049-01-0218 Old Spice 2.6oz Hardest Working Col,49010218,3700094469,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0218 Old Spice Scented 2.6 oz Antiperspi,49010218,3700094469,MEN'S,OLD SPICE,SOFT SOLID,PREMIUM PLUS
049-01-0219 SECRET 2.6OZ IS Powder Fresh Twin,49010219,3700012432,WOMEN'S,SECRET,STICKS/SOLID,BASE
049-01-0220 DRY IDEA 25OZ UNSCENTED ROLLON,49010220,1700006954,WOMEN'S,DRY IDEA,ROLL ON,PREMIUM
049-01-0221 DEGREE 1.7OZ Clinical Thermo Dry,49010221,7940026671,MEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0222 Degree IS Shower Clean 2.6oz 12pk,49010222,7940011802,WOMEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0223 BRUT 10OZ Original Fragrance Deodor,49010223,82775507004,MEN'S,BRUT,AEROSOL,
049-01-0224 BRUT 2.5OZ Original Fragrance Deodo,49010224,82775507001,MEN'S,BRUT,STICKS/SOLID,BASE
049-01-0225 AXE   2.7OZ  IS TWIN PHOENIX,49010225,,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0226 AXE 3oz Apollo Deodorant,49010226,7940026102,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0227 DEGREE 2.7Z ADN IS EVEREST,49010227,7940011514,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0231 DOVE DOVE 1.7Z CLIN RBLNCE,49010231,7940014094,WOMEN'S,DOVE BEAUTY,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0232 DEGREE SOLID INVSBLE PWDR/FSH 1.6OZ,49010232,7940025150,WOMEN'S,DEGREE,STICKS/SOLID,BASE
049-01-0234 AXE 2.7oz Apollo Invisible Solid,49010234,7940026094,MEN'S,AXE,STICKS/SOLID,PREMIUM
049-01-0235 DOVE         UC REBALANCE 2.6OZ,49010235,7940011893,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM
049-01-0235 DOVE UC REBALANCE 2.6OZ,49010235,7940011893,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM
049-01-0238 Old Spice Scented 2.6 oz Antiperspi,49010238,3700094466,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM PLUS
049-01-0239 AXE 4OZ Apollo Body Spray,49010239,7940026093,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0239 AXE 4OZ Apollo Body Spray,49010239,7940033989,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0239 AXE 4OZ Apollo Body Spray,49010239,7940035944,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0242 CERTAIN DRI  1.7 ANTIPERSPRNT SOLID,49010242,88941101110,WOMEN'S,CERTAIN DRI,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0245 DEGREE WOMEN 2 PK 4.2OZ PURE CLN,49010245,,WOMEN'S,DEGREE,,
049-01-0248 DOVE UC NOURISH 2.6OZ,49010248,7940014155,WOMEN'S,DOVE BEAUTY,STICKS/SOLID,PREMIUM
049-01-0254 DEGREE        2.6OZ IS JUST DANCE,49010254,,WOMEN'S,DEGREE,,
049-01-0255 MITCHUM Roll-on 2.5OZ Unscented Ant,49010255,30997118591,MEN'S,MITCHUM,ROLL ON,PREMIUM
049-01-0256 TOM 2.4OZ    DEO CRYSTAL CITRUS,49010256,,WOMEN'S,TOM'S OF MAINE,,
049-01-0257 DEGREE 2.6OZ IS Mtn Sense Sheer Pow,49010257,7940027532,WOMEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0258 DEGREE        2.7OZ IS COOL RUSH,49010258,,MEN'S,DEGREE,,
049-01-0259 Degree 1.7Z Clinical Summer Strengt,49010259,7940027210,WOMEN'S,DEGREE,CLINICAL,SUPER PREMIUM/CLINICAL
049-01-0260 DEGREE 2.7OZ ADN IS Ironman,49010260,7940027205,MEN'S,DEGREE,STICKS/SOLID,PREMIUM
049-01-0261 MITCHUM      2.25OZ CLR GEL UNSCNT,49010261,30997315500,MEN'S,MITCHUM,GEL,PREMIUM
049-01-0262 MITCHUM Clear Gel Super 2.25OZ Spor,49010262,30997316200,MEN'S,MITCHUM,GEL,PREMIUM
049-01-0263 LADY MITCHUM Clear Gel 2.25OZ Powde,49010263,30997315600,WOMEN'S,LADY MITCHUM,GEL,PREMIUM
049-01-0264 DEGREE        1.7OZ SHEER POWDER,49010264,,WOMEN'S,DEGREE,,
049-01-0266 LADY MITCHUM 2.25OZ SHWR FRSH GEL,49010266,30997323400,WOMEN'S,LADY MITCHUM,GEL,PREMIUM
049-01-0267 SECRET       2.6 OZ SOLID,49010267,,WOMEN'S,SECRET,,
049-01-0268 Old Spice 2.6oz Hardest Working Col,49010268,3700094464,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM PLUS
049-01-0268 Old Spice Scented 2.6 oz Antiperspi,49010268,3700094464,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM PLUS
049-01-0269 Old Spice 2.6oz Hardest Working Col,49010269,3700094465,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM PLUS
049-01-0269 Old Spice Scented 2.6 oz Antiperspi,49010269,3700094465,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM PLUS
049-01-0271 LDY MITCHUM  2.5-OZ. SMTSLD PAPAYA,49010271,30997617514,WOMEN'S,LADY MITCHUM,STICKS/SOLID,PREMIUM
049-01-0272 DEGREE  2.6O Z COTTON FRESH MS,49010272,,WOMEN'S,DEGREE,,
049-01-0273 TOM          2.25 DEO MTN. SPRING,49010273,,WOMEN'S,TOM'S OF MAINE,,
049-01-0274 LADY MITCHUM 2.5OZ SMTSLD POWDER,49010274,30997095614,WOMEN'S,LADY MITCHUM,STICKS/SOLID,PREMIUM
049-01-0276 MITCHUM Smart Solid 2.5OZ Unscented,49010276,30997832414,MEN'S,MITCHUM,STICKS/SOLID,PREMIUM
049-01-0278 OLD SPICE FC 3.25OZ DEO KOMODO,49010278,1204401767,MEN'S,OLD SPICE,STICKS/SOLID,PREMIUM
049-01-0280 MANCAVE      3.4 FLOZ ROLL-ON LIQUI,49010280,,MEN'S,MANCAVE,,
049-01-0284 AXE DEO      ESS4OZ+1.7OZ+1.7SG,49010284,,MEN'S,AXE,BODY SPRAY,PREMIUM
049-01-0287 DOVE BEAUTY DOVEMEN2.7Z COOLSILVER,49010287,7940027163,MEN'S,DOVE MEN,STICKS/SOLID,PREMIUM
049-01-0289 ADIDAS PURE  POWDER ABSOR DEO 1.6OZ,49010289,3165548999,WOMEN'S,ADIDAS,STICKS/SOLID,BASE
049-01-0290 OLD SPICE RZ 4OZ BS AFTER HOURS,49010290,,MEN'S,OLD SPICE,BODY SPRAY,PREMIUM
049-01-0292 RIGHT GUARD SPORT 2.6OZ FRESH SOLID,49010292,1700006915,MEN'S,RIGHT GUARD,STICKS/SOLID,BASE
049-01-0295 OLD SPICE    3 OZ SOLID,49010295,,MEN'S,OLD SPICE,STICKS/SOLID,
049-01-0296 SUAVE        2.6Z IS POWDER,49010296,7940076380,WOMEN'S,SUAVE,STICKS/SOLID,BASE
